MSSubClass;LotFrontage;LotArea;OverallQual;OverallCond;YearBuilt;YearRemodAdd;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;TotRmsAbvGrd;Fireplaces;GarageYrBlt;GarageCars;GarageArea;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;MoSold;YrSold;d
60;65;8450;7;5;2003;2003;196;706;0;150;856;856;854;0;1710;1;0;2;1;3;1;8;0;2003;2;548;0;61;0;0;0;0;0;2;2008;208500
20;80;9600;6;8;1976;1976;0;978;0;284;1262;1262;0;0;1262;0;1;2;0;3;1;6;1;1976;2;460;298;0;0;0;0;0;0;5;2007;181500
60;68;11250;7;5;2001;2002;162;486;0;434;920;920;866;0;1786;1;0;2;1;3;1;6;1;2001;2;608;0;42;0;0;0;0;0;9;2008;223500
70;60;9550;7;5;1915;1970;0;216;0;540;756;961;756;0;1717;1;0;1;0;3;1;7;1;1998;3;642;0;35;272;0;0;0;0;2;2006;140000
60;84;14260;8;5;2000;2000;350;655;0;490;1145;1145;1053;0;2198;1;0;2;1;4;1;9;1;2000;3;836;192;84;0;0;0;0;0;12;2008;250000
50;85;14115;5;5;1993;1995;0;732;0;64;796;796;566;0;1362;1;0;1;1;1;1;5;0;1993;2;480;40;30;0;320;0;0;700;10;2009;143000
20;75;10084;8;5;2004;2005;186;1369;0;317;1686;1694;0;0;1694;1;0;2;0;3;1;7;1;2004;2;636;255;57;0;0;0;0;0;8;2007;307000
60;NA;10382;7;6;1973;1973;240;859;32;216;1107;1107;983;0;2090;1;0;2;1;3;1;7;2;1973;2;484;235;204;228;0;0;0;350;11;2009;200000
50;51;6120;7;5;1931;1950;0;0;0;952;952;1022;752;0;1774;0;0;2;0;2;2;8;2;1931;2;468;90;0;205;0;0;0;0;4;2008;129900
190;50;7420;5;6;1939;1950;0;851;0;140;991;1077;0;0;1077;1;0;1;0;2;2;5;2;1939;1;205;0;4;0;0;0;0;0;1;2008;118000
20;70;11200;5;5;1965;1965;0;906;0;134;1040;1040;0;0;1040;1;0;1;0;3;1;5;0;1965;1;384;0;0;0;0;0;0;0;2;2008;129500
60;85;11924;9;5;2005;2006;286;998;0;177;1175;1182;1142;0;2324;1;0;3;0;4;1;11;2;2005;3;736;147;21;0;0;0;0;0;7;2006;345000
20;NA;12968;5;6;1962;1962;0;737;0;175;912;912;0;0;912;1;0;1;0;2;1;4;0;1962;1;352;140;0;0;0;176;0;0;9;2008;144000
20;91;10652;7;5;2006;2007;306;0;0;1494;1494;1494;0;0;1494;0;0;2;0;3;1;7;1;2006;3;840;160;33;0;0;0;0;0;8;2007;279500
20;NA;10920;6;5;1960;1960;212;733;0;520;1253;1253;0;0;1253;1;0;1;1;2;1;5;1;1960;1;352;0;213;176;0;0;0;0;5;2008;157000
45;51;6120;7;8;1929;2001;0;0;0;832;832;854;0;0;854;0;0;1;0;2;1;5;0;1991;2;576;48;112;0;0;0;0;0;7;2007;132000
20;NA;11241;6;7;1970;1970;180;578;0;426;1004;1004;0;0;1004;1;0;1;0;2;1;5;1;1970;2;480;0;0;0;0;0;0;700;3;2010;149000
90;72;10791;4;5;1967;1967;0;0;0;0;0;1296;0;0;1296;0;0;2;0;2;2;6;0;1967;2;516;0;0;0;0;0;0;500;10;2006;90000
20;66;13695;5;5;2004;2004;0;646;0;468;1114;1114;0;0;1114;1;0;1;1;3;1;6;0;2004;2;576;0;102;0;0;0;0;0;6;2008;159000
20;70;7560;5;6;1958;1965;0;504;0;525;1029;1339;0;0;1339;0;0;1;0;3;1;6;0;1958;1;294;0;0;0;0;0;0;0;5;2009;139000
60;101;14215;8;5;2005;2006;380;0;0;1158;1158;1158;1218;0;2376;0;0;3;1;4;1;9;1;2005;3;853;240;154;0;0;0;0;0;11;2006;325300
45;57;7449;7;7;1930;1950;0;0;0;637;637;1108;0;0;1108;0;0;1;0;3;1;6;1;1930;1;280;0;0;205;0;0;0;0;6;2007;139400
20;75;9742;8;5;2002;2002;281;0;0;1777;1777;1795;0;0;1795;0;0;2;0;3;1;7;1;2002;2;534;171;159;0;0;0;0;0;9;2008;230000
120;44;4224;5;7;1976;1976;0;840;0;200;1040;1060;0;0;1060;1;0;1;0;3;1;6;1;1976;2;572;100;110;0;0;0;0;0;6;2007;129900
